City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.99,moderate rain,3.0707,172.7902,Isles Sunset Lodge
4,Sao Filipe,CV,74.79,overcast clouds,14.8961,-24.4956,Hotel Xaguate
5,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Bengkulu,ID,75.52,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
8,Ribeira Grande,PT,70.3,broken clouds,38.5167,-28.7,Quinta da Meia Eira
9,Hithadhoo,MV,83.61,broken clouds,-0.6,73.0833,Scoop Guest House
10,San Patricio,US,87.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
13,Tautira,PF,74.88,light rain,-17.7333,-149.15,Pension Oaoa
15,Gairatganj,IN,74.19,overcast clouds,23.4202,78.2385,new garib namz road lines
17,Le Port,RE,67.96,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
18,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
19,Atuona,PF,77.22,clear sky,-9.8,-139.0333,Villa Enata
21,Ituverava,BR,71.33,overcast clouds,-20.3394,-47.7806,Hotel Jandaia
22,Roma,US,78.96,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
23,Panji,ID,73.02,clear sky,-7.7253,114.0995,Rumah eni
25,Rikitea,PF,68.07,light rain,-23.1203,-134.9692,People ThankYou
31,Nishihara,JP,85.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
34,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Xiongzhou,CN,80.44,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
40,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Caravelas,BR,70.41,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
42,Anavra,GR,77.45,clear sky,39.2,22.0833,ΜΠΟΥΚΗΣ ΝΙΚΟΣ
43,Kawalu,ID,71.78,moderate rain,-7.3817,108.2082,West Jontor
46,Mareeba,AU,67.44,light rain,-17.0,145.4333,Trinity Plains Tourist Park
47,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
49,Bonthe,SL,76.75,light rain,7.5264,-12.505,Bonthe Holiday Village
51,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
52,Sambava,MG,69.26,light rain,-14.2667,50.1667,Melrose
56,Jamestown,US,74.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Inongo,CD,72.63,scattered clouds,-1.95,18.2667,Hotel Du Lac
65,Bourail,NC,69.76,scattered clouds,-21.5667,165.4833,Motel Allamanda
66,Xiamen,CN,87.85,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
67,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
70,Barcelos,PT,74.91,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
71,Janauba,BR,69.98,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
73,Sola,VU,80.35,scattered clouds,-13.8833,167.55,Leumerus Bungalows
78,Bowen,AU,67.12,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
79,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
80,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
83,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
85,Greenville,US,82.56,scattered clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
86,Vasto,IT,82.15,clear sky,42.1243,14.7059,Hotel President
89,Kavieng,PG,82.53,broken clouds,-2.5744,150.7967,Nusa Island Retreat
90,Sarangani,PH,82.29,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
92,Ponta Do Sol,PT,71.01,scattered clouds,32.6667,-17.1,Hotel do Campo
95,Bolgatanga,GH,78.4,overcast clouds,10.7856,-0.8514,Mama's Place
98,Nueva Londres,PY,77.25,overcast clouds,-25.4045,-56.5498,La Guari
99,Marechal Candido Rondon,BR,73.6,overcast clouds,-24.5561,-54.0567,Hotel Bender
100,Asau,RO,67.12,few clouds,46.4333,26.4,Casa Mika Ciobanus
101,Fortuna,US,70.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
102,Ixtapa,MX,88.23,few clouds,20.7,-105.2,hotel la terminal
104,Beaverlodge,CA,70.95,overcast clouds,55.2166,-119.4361,Side Trax Inn
107,Grand Gaube,MU,68.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
108,Guatire,VE,73.42,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
109,Bathsheba,BB,82.06,scattered clouds,13.2167,-59.5167,Atlantis Hotel
113,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
115,Itarema,BR,78.78,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
118,Marawi,PH,70.97,overcast clouds,7.9986,124.2928,Derogongan Residence
120,Bethel,US,80.02,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
123,Barra Dos Coqueiros,BR,75.22,broken clouds,-10.9089,-37.0386,Quality Hotel Aracaju
127,Puerto Madero,MX,75.4,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
130,Kudahuvadhoo,MV,82.42,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
131,Sao Jose Da Coroa Grande,BR,74.95,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
132,Mahebourg,MU,68.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Santa Isabel,BR,69.51,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
140,Cartagena Del Chaira,CO,77.4,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
144,Victoria,HK,87.96,overcast clouds,22.2855,114.1577,Mini Central
146,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
147,Zhicheng,CN,83.48,overcast clouds,30.2956,111.5047,Wangjiang Building
148,Pagudpud,PH,81.93,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
154,Durham,US,82.53,broken clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
156,Mayumba,GA,69.26,few clouds,-3.432,10.6554,LIKWALE LODGE
157,Yabrud,SY,66.45,clear sky,33.9674,36.6574,صالة افراح الاندلس
160,Japura,ID,72.25,broken clouds,-0.3167,102.35,Rumah mbah Jamah
161,Hannibal,US,88.72,clear sky,39.7084,-91.3585,Country Hearth Inn Hannibal
162,Aljezur,PT,65.75,few clouds,37.3191,-8.8033,Amazigh Hostel
163,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
167,Puerto Ayacucho,VE,76.46,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
168,Churapcha,RU,74.73,broken clouds,62.0025,132.4325,"""Tusku"""
171,Angoche,MZ,66.87,clear sky,-16.2325,39.9086,Guest House HESADA
173,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
176,Ebolowa,CM,67.17,broken clouds,2.9,11.15,Florence Hotel Ebolowa
178,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
181,Vaitape,PF,77.9,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
182,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
184,Afua,BR,77.29,scattered clouds,-0.1567,-50.3867,Hotel Dias
186,Honiara,SB,84.18,scattered clouds,-9.4333,159.95,Heritage Park Hotel
189,Eluru,IN,80.83,overcast clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
190,Pulandian,CN,74.68,clear sky,39.3953,121.9669,HR East Hotel
191,Owando,CG,76.89,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
192,Lompoc,US,87.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
193,Sao Joao Da Barra,BR,72.03,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
194,Port Hardy,CA,66.38,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
196,Sur,OM,87.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
197,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
198,Touros,BR,74.89,few clouds,-5.1989,-35.4608,INN NEW HORIZON
199,Tibati,CM,66.63,moderate rain,6.4667,12.6333,Tibati Hotel
201,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
202,Bengbu,CN,82.27,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
203,Kilindoni,TZ,76.44,broken clouds,-7.9139,39.6668,Bustani B&B
204,Portland,US,85.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
