City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuito,AO,2022-07-15 23:28:21,-12.3833,16.9333,52.7,44,0,3.4,clear sky
1,Butaritari,KI,2022-07-15 23:28:21,3.0707,172.7902,81.99,80,100,19.8,moderate rain
2,Bluff,NZ,2022-07-15 23:28:21,-46.6,168.3333,35.8,75,82,19.28,broken clouds
3,Ushuaia,AR,2022-07-15 23:25:07,-54.8,-68.3,35.26,60,20,9.22,few clouds
4,Sao Filipe,CV,2022-07-15 23:28:22,14.8961,-24.4956,74.79,80,100,5.39,overcast clouds
5,Kapaa,US,2022-07-15 23:28:22,22.0752,-159.319,84.18,67,20,13.8,few clouds
6,Bengkulu,ID,2022-07-15 23:28:22,-3.8004,102.2655,75.52,88,100,4.27,moderate rain
7,Clyde River,CA,2022-07-15 23:28:23,70.4692,-68.5914,55.63,47,0,14.97,clear sky
8,Ribeira Grande,PT,2022-07-15 23:28:23,38.5167,-28.7,70.3,89,55,8.37,broken clouds
9,Hithadhoo,MV,2022-07-15 23:28:23,-0.6,73.0833,83.61,73,78,15.75,broken clouds
10,San Patricio,US,2022-07-15 23:28:24,28.017,-97.5169,87.69,64,99,11.77,overcast clouds
11,Punta Arenas,CL,2022-07-15 23:28:24,-53.15,-70.9167,21.31,93,20,5.75,few clouds
12,Kaitangata,NZ,2022-07-15 23:28:24,-46.2817,169.8464,40.53,84,45,9.93,scattered clouds
13,Tautira,PF,2022-07-15 23:28:25,-17.7333,-149.15,74.88,73,51,24.05,light rain
14,Anchorage,US,2022-07-15 23:27:53,61.2181,-149.9003,62.65,76,100,15.01,light rain
15,Gairatganj,IN,2022-07-15 23:28:25,23.4202,78.2385,74.19,94,97,7.61,overcast clouds
16,Vila,PT,2022-07-15 23:28:25,42.0304,-8.1588,64.71,71,53,2.46,broken clouds
17,Le Port,RE,2022-07-15 23:28:26,-20.9373,55.2919,67.96,68,44,5.84,scattered clouds
18,Nouadhibou,MR,2022-07-15 23:28:26,20.931,-17.0347,69.78,88,20,12.66,few clouds
19,Atuona,PF,2022-07-15 23:28:26,-9.8,-139.0333,77.22,74,1,12.91,clear sky
20,Aasiaat,GL,2022-07-15 23:28:27,68.7098,-52.8699,39.51,87,3,13.6,clear sky
21,Ituverava,BR,2022-07-15 23:28:27,-20.3394,-47.7806,71.33,40,100,4.9,overcast clouds
22,Roma,US,2022-07-15 23:28:27,43.2128,-75.4557,78.96,49,0,6.91,clear sky
23,Panji,ID,2022-07-15 23:28:28,-7.7253,114.0995,73.02,75,8,4.88,clear sky
24,Port Alfred,ZA,2022-07-15 23:28:28,-33.5906,26.891,54.18,90,15,13.06,few clouds
25,Rikitea,PF,2022-07-15 23:28:28,-23.1203,-134.9692,68.07,81,100,10.0,light rain
26,Mataura,NZ,2022-07-15 23:28:29,-46.1927,168.8643,35.47,90,79,4.54,broken clouds
27,Cape Town,ZA,2022-07-15 23:26:55,-33.9258,18.4232,59.38,87,93,3.44,fog
28,Barranca,PE,2022-07-15 23:28:29,-10.75,-77.7667,60.96,81,63,10.98,broken clouds
29,Hobart,AU,2022-07-15 23:27:16,-42.8794,147.3294,50.25,82,75,9.22,light rain
30,Poum,NC,2022-07-15 23:28:29,-20.2333,164.0167,71.76,57,0,24.11,clear sky
31,Nishihara,JP,2022-07-15 23:28:30,26.1842,127.7558,85.68,84,75,11.5,broken clouds
32,Naantali,FI,2022-07-15 23:28:30,60.4674,22.0243,54.86,87,75,9.22,broken clouds
33,Kamenka,RU,2022-07-15 23:25:42,51.3223,42.7678,62.29,68,0,6.69,clear sky
34,Arraial Do Cabo,BR,2022-07-15 23:28:30,-22.9661,-42.0278,71.56,78,0,13.8,clear sky
35,Chuy,UY,2022-07-15 23:28:31,-33.6971,-53.4616,59.02,99,100,1.72,overcast clouds
36,Gamba,GA,2022-07-15 23:28:31,-2.65,10.0,69.37,95,24,3.96,few clouds
37,Lebu,CL,2022-07-15 23:28:31,-37.6167,-73.65,44.85,79,47,10.27,scattered clouds
38,Mocuba,MZ,2022-07-15 23:28:32,-16.8392,36.9856,58.01,92,1,4.7,clear sky
39,Xiongzhou,CN,2022-07-15 23:28:32,25.1167,114.3,80.44,87,100,3.11,overcast clouds
40,Puerto Ayora,EC,2022-07-15 23:28:32,-0.7393,-90.3518,70.56,91,74,7.0,broken clouds
41,Caravelas,BR,2022-07-15 23:28:33,-17.7125,-39.2481,70.41,79,5,5.28,clear sky
42,Anavra,GR,2022-07-15 23:28:33,39.2,22.0833,77.45,39,0,3.38,clear sky
43,Kawalu,ID,2022-07-15 23:28:33,-7.3817,108.2082,71.78,99,95,0.81,moderate rain
44,Nikolskoye,RU,2022-07-15 23:28:34,59.7035,30.7861,58.89,98,54,5.03,broken clouds
45,Chokurdakh,RU,2022-07-15 23:28:34,70.6333,147.9167,48.06,81,70,16.71,broken clouds
46,Mareeba,AU,2022-07-15 23:28:34,-17.0,145.4333,67.44,82,57,9.75,light rain
47,Georgetown,MY,2022-07-15 23:27:55,5.4112,100.3354,83.89,89,20,3.44,few clouds
48,Tuktoyaktuk,CA,2022-07-15 23:28:35,69.4541,-133.0374,42.8,75,20,5.75,few clouds
49,Bonthe,SL,2022-07-15 23:28:35,7.5264,-12.505,76.75,83,99,8.75,light rain
50,Yar-Sale,RU,2022-07-15 23:28:35,66.8333,70.8333,53.92,66,5,7.78,clear sky
51,Los Llanos De Aridane,ES,2022-07-15 23:28:36,28.6585,-17.9182,67.75,92,0,14.97,clear sky
52,Sambava,MG,2022-07-15 23:28:36,-14.2667,50.1667,69.26,83,64,10.63,light rain
53,Khatanga,RU,2022-07-15 23:28:36,71.9667,102.5,58.53,53,18,6.8,few clouds
54,Castro,BR,2022-07-15 23:28:37,-24.7911,-50.0119,60.01,70,99,4.14,overcast clouds
55,Albany,US,2022-07-15 23:28:37,42.6001,-73.9662,81.25,46,42,4.5,scattered clouds
56,Jamestown,US,2022-07-15 23:26:13,42.097,-79.2353,74.05,40,0,6.91,clear sky
57,Evensk,RU,2022-07-15 23:28:37,61.95,159.2333,62.37,74,3,7.05,clear sky
58,Upernavik,GL,2022-07-15 23:28:38,72.7868,-56.1549,48.67,61,1,5.97,clear sky
59,Bredasdorp,ZA,2022-07-15 23:28:38,-34.5322,20.0403,51.13,91,99,3.78,overcast clouds
60,Khani,GE,2022-07-15 23:28:38,41.9563,42.9566,60.37,83,1,2.15,clear sky
61,Tanout,NE,2022-07-15 23:28:39,14.9709,8.8879,76.14,65,100,24.47,light rain
62,Inongo,CD,2022-07-15 23:28:39,-1.95,18.2667,72.63,56,48,3.51,scattered clouds
63,Saldanha,ZA,2022-07-15 23:28:39,-33.0117,17.9442,53.65,75,88,7.52,overcast clouds
64,Mehamn,NO,2022-07-15 23:28:40,71.0357,27.8492,53.55,87,71,4.61,broken clouds
65,Bourail,NC,2022-07-15 23:28:40,-21.5667,165.4833,69.76,56,50,13.94,scattered clouds
66,Xiamen,CN,2022-07-15 23:24:00,24.4798,118.0819,87.85,79,0,4.47,clear sky
67,Souillac,MU,2022-07-15 23:28:41,-20.5167,57.5167,66.58,94,75,11.5,light rain
68,Hermanus,ZA,2022-07-15 23:28:41,-34.4187,19.2345,53.8,81,97,8.86,overcast clouds
69,Roebourne,AU,2022-07-15 23:28:41,-20.7833,117.1333,61.2,34,1,10.6,clear sky
70,Barcelos,PT,2022-07-15 23:28:41,41.5388,-8.6151,74.91,84,52,1.19,broken clouds
71,Janauba,BR,2022-07-15 23:28:42,-15.8025,-43.3089,69.98,32,5,8.01,clear sky
